Unit,Year,Months,Business Value in K,Performance Sector,Country,Profit in K
Manufacturing & Other Industry,2004,Qtr 1,"53,997",Business enterprise sector,Ireland,300
Manufacturing & Other Industry,2004,Qtr 2,"63,619",Business enterprise sector,Ireland,575
Manufacturing & Other Industry,2004,Qtr 3,"71,061",Business enterprise sector,Ireland,150
Manufacturing & Other Industry,2004,Qtr 4,"45,206",Business enterprise sector,Ireland,200
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 1,"74,036",Business enterprise sector,Ireland,400
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 2,"36,255",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 3,"33,249",Business enterprise sector,Ireland,200
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 4,"19,599",Business enterprise sector,Ireland,400
"Computer, Electronic & Optical Products",2004,Qtr 1,"59,222",Business enterprise sector,Ireland,475
"Computer, Electronic & Optical Products",2004,Qtr 2,"75,081",Business enterprise sector,Ireland,625
"Computer, Electronic & Optical Products",2004,Qtr 3,"53,964",Business enterprise sector,Ireland,200
"Computer, Electronic & Optical Products",2004,Qtr 4,"62,510",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2004,Qtr 1,"43,439",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2004,Qtr 2,"18,834",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2004,Qtr 3,"64,267",Business enterprise sector,Ireland,225
"Food, Drink & Tobacco",2004,Qtr 4,"61,761",Business enterprise sector,Ireland,300
"Textiles, Clothing, Footware & Leather",2004,Qtr 1,"83,384",Business enterprise sector,Ireland,400
"Textiles, Clothing, Footware & Leather",2004,Qtr 2,"43,295",Business enterprise sector,Ireland,875
"Textiles, Clothing, Footware & Leather",2004,Qtr 3,"51,296",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2004,Qtr 4,"73,858",Business enterprise sector,Ireland,475
Manufacturing & Other Industry,2005,Qtr 1,"39,698",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2005,Qtr 2,"67,628",Business enterprise sector,Ireland,350
Manufacturing & Other Industry,2005,Qtr 3,"21,871",Business enterprise sector,Ireland,575
Manufacturing & Other Industry,2005,Qtr 4,"50,883",Business enterprise sector,Ireland,350
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 1,"34,787",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 2,"53,964",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 3,"43,439",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 4,"21,871",Business enterprise sector,Ireland,475
